Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Peru,PER,1981,4968.2568359375,0,1328.115966796875
Peru,PER,1982,4772.25390625,0,1373.51171875
Peru,PER,1983,4016.18310546875,0,1294.8543701171875
Peru,PER,1984,4114.4765625,0,1355.5028076171875
Peru,PER,1985,3876.553466796875,0,1430.3411865234375
Peru,PER,1986,4055.982177734375,0,1494.7274169921875
Peru,PER,1987,4256.29296875,0,1575.5552978515625
Peru,PER,1988,4088.42041015625,0,1477.5281982421875
Peru,PER,1989,3551.26806640625,0,1458.8541259765625
Peru,PER,1990,3431.483642578125,0,1422.2392578125
Peru,PER,1991,3195.323974609375,0,1527.6485595703125
Peru,PER,1992,3244.439208984375,0,1265.94921875
Peru,PER,1993,3320.0615234375,0,1505.351318359375
Peru,PER,1994,3556.516845703125,0,1596.2421875
Peru,PER,1995,3916.6162109375,0,1593.043701171875
Peru,PER,1996,3983.020751953125,0,1609.297119140625
Peru,PER,1997,3967.884033203125,0,1569.4962158203125
Peru,PER,1998,3855.981689453125,0,1607.084716796875
Peru,PER,1999,3867.38623046875,0,1665.825439453125
Peru,PER,2000,3794.999267578125,0,1826.885498046875
Peru,PER,2001,3539.800048828125,0,1950.5145263671875
Peru,PER,2002,3587.0078125,0,1964.9971923828125
Peru,PER,2003,3434.89599609375,0,1986.65576171875
Peru,PER,2004,3865.3642578125,0,1845.9761962890625
Peru,PER,2005,4036.031982421875,0,1887.2335205078125
Peru,PER,2006,3873.522216796875,0,2023.624755859375
Peru,PER,2007,4406.0390625,0,1998.0601806640625
Peru,PER,2008,4910.75537109375,0,1926.6766357421875
Peru,PER,2009,4948.0322265625,0,1981.6632080078125
Peru,PER,2010,5828.921875,0,1991.4739990234375
Peru,PER,2011,6458.29638671875,0,2105.8818359375
Peru,PER,2012,6597.23828125,0,2125.253662109375
Peru,PER,2013,6665.27294921875,0,2164.126220703125
Peru,PER,2014,6787.9150390625,0,2177.76025390625
Peru,PER,2015,7012.83056640625,0,2261.337890625
Peru,PER,2016,7516.95947265625,0,2234.693603515625
Peru,PER,2017,7243.79833984375,0,2623.63134765625
Peru,PER,2018,7450.46875,0,2781.402099609375
Peru,PER,2019,7571.345703125,0,2797.329345703125
Peru,PER,2020,5937.580078125,0,2691.42333984375
Peru,PER,2021,7085.19384765625,,2771.138916015625
Philippines,PHL,1965,1624.1478271484375,0,148.27996826171875
Philippines,PHL,1966,1716.515625,0,141.05569458007812
Philippines,PHL,1967,1874.04541015625,0,151.34495544433594
Philippines,PHL,1968,2070.9814453125,0,150.495361328125
Philippines,PHL,1969,2157.466552734375,0,154.28298950195312
Philippines,PHL,1970,2382.5732421875,0,173.18951416015625
Philippines,PHL,1971,2685.47607421875,0,155.11288452148438
Philippines,PHL,1972,2560.93408203125,0,172.08570861816406
Philippines,PHL,1973,2919.686279296875,0,179.89227294921875
Philippines,PHL,1974,2655.997802734375,0,151.07481384277344
Philippines,PHL,1975,2791.84033203125,0,162.72637939453125
Philippines,PHL,1976,2792.26953125,0,194.70989990234375
Philippines,PHL,1977,2988.8251953125,0,143.34156799316406
Philippines,PHL,1978,2994.85498046875,0,185.5681915283203
Philippines,PHL,1979,3001.785888671875,0,224.09825134277344
Philippines,PHL,1980,2746.58984375,0,342.4319763183594
Philippines,PHL,1981,2538.60791015625,0,456.873779296875
Philippines,PHL,1982,2385.60400390625,0,447.1361389160156
Philippines,PHL,1983,2475.349609375,0,506.5068054199219
Philippines,PHL,1984,2056.809326171875,0,588.8087158203125
Philippines,PHL,1985,1868.723388671875,0,619.6556396484375
Philippines,PHL,1986,1851.1746826171875,0,609.0859375
Philippines,PHL,1987,2075.282470703125,0,515.8641967773438
Philippines,PHL,1988,2213.80810546875,0,569.3745727539062
Philippines,PHL,1989,2345.1943359375,0,588.2260131835938
Philippines,PHL,1990,2407.02734375,0,562.361328125
Philippines,PHL,1991,2304.95751953125,0,497.23785400390625
Philippines,PHL,1992,2717.923828125,0,450.673828125
Philippines,PHL,1993,2735.53125,0,464.8150634765625
Philippines,PHL,1994,2803.995849609375,0,517.2562866210938
Philippines,PHL,1995,3099.770263671875,0,513.5283813476562
Philippines,PHL,1996,3247.129150390625,0,550.7982177734375
Philippines,PHL,1997,3466.269287109375,0,526.9149780273438
Philippines,PHL,1998,3424.90380859375,0,539.341552734375
Philippines,PHL,1999,3260.423583984375,0,697.579833984375
Philippines,PHL,2000,3146.151123046875,0,718.6721801757812
Philippines,PHL,2001,3093.943603515625,0,631.4192504882812
Philippines,PHL,2002,3018.902587890625,0,604.8809814453125
Philippines,PHL,2003,3073.172607421875,0,603.9447021484375
Philippines,PHL,2004,3098.0341796875,0,627.9251098632812
Philippines,PHL,2005,3046.125732421875,0,594.005859375
Philippines,PHL,2006,2822.69482421875,0,648.6824951171875
Philippines,PHL,2007,2959.81201171875,0,582.7120361328125
